legacy_release_id	label_count	rotation_rows	labels
66284	2	2	[{"name":"WASP VIDEO ROADHOUSE","company_ids":[4984],"rotation_rows":1},{"name":"WHARF CAT","company_ids":[4756],"rotation_rows":1}]
66400	2	2	[{"name":"WAAAW","company_ids":[5195],"rotation_rows":1},{"name":"WAAW","company_ids":[5183],"rotation_rows":1}]
66707	2	2	[{"name":"OOdiscs","company_ids":[620],"rotation_rows":1},{"name":"XI","company_ids":[1904],"rotation_rows":1}]
66909	2	2	[{"name":"COMMONS","company_ids":[5276],"rotation_rows":1},{"name":"MILAN","company_ids":[340],"rotation_rows":1}]
66994	2	2	[{"name":"DUG OUT","company_ids":[3872],"rotation_rows":1},{"name":"Wildflower","company_ids":[5280],"rotation_rows":1}]
67188	2	2	[{"name":"SUBLIMINAL SOUNDS","company_ids":[2585],"rotation_rows":1},{"name":"Subliminal Sounds/Gashud","company_ids":[5325],"rotation_rows":1}]
67229	2	2	[{"name":"ALIEN TRANSISTOR","company_ids":[3576],"rotation_rows":1},{"name":"Majikick Records","company_ids":[5340],"rotation_rows":1}]
67335	2	2	[{"name":"FAMOUS CLASS","company_ids":[3189],"rotation_rows":1},{"name":"OUT-SIDER","company_ids":[4718],"rotation_rows":1}]
67857	2	2	[{"name":"AMBIANCES MAGNETIQUES","company_ids":[3174],"rotation_rows":1},{"name":"Noton","company_ids":[5435],"rotation_rows":1}]
67909	2	2	[{"name":"(self-released)","company_ids":[4459],"rotation_rows":1},{"name":"Attenuation Circuit","company_ids":[5458],"rotation_rows":1}]
68136	2	2	[{"name":"W. 25TH/SUPERIOR VIADUCT","company_ids":[5528],"rotation_rows":1},{"name":"W.25TH","company_ids":[5712],"rotation_rows":1}]
68196	2	2	[{"name":"NEUROT","company_ids":[2197],"rotation_rows":1},{"name":"PRESTO!?","company_ids":[5545],"rotation_rows":1}]
68197	2	2	[{"name":"Royal Potato Family","company_ids":[5512],"rotation_rows":1},{"name":"THE ROYAL POTATO FAMILY","company_ids":[5540],"rotation_rows":1}]
68664	2	2	[{"name":"Intergalactic Mantra","company_ids":[5735],"rotation_rows":1},{"name":"INTERNATIONAL ANTHEM RECORDING COMPANY","company_ids":[4917],"rotation_rows":1}]
69151	2	2	[{"name":"Stone Woman Music","company_ids":[6187],"rotation_rows":1},{"name":"The Orchard","company_ids":[6186],"rotation_rows":1}]
69354	2	2	[{"name":"Far Out Recording","company_ids":[6258],"rotation_rows":1},{"name":"Far Out Recordings","company_ids":[6259],"rotation_rows":1}]
69785	2	2	[{"name":"Domino","company_ids":[6480],"rotation_rows":1},{"name":"RCA","company_ids":[6467],"rotation_rows":1}]
70837	2	2	[{"name":"Death Is Not The End","company_ids":[6819],"rotation_rows":1},{"name":"Soundway Records","company_ids":[6825],"rotation_rows":1}]
71431	2	3	[{"name":"SICKROOM","company_ids":[2347],"rotation_rows":2},{"name":"wherethetimegoes","company_ids":[7016],"rotation_rows":1}]
71682	3	3	[{"name":"Honest Jon's Records","company_ids":[7145],"rotation_rows":1},{"name":"NUMERO GROUP","company_ids":[2709],"rotation_rows":1},{"name":"TAL","company_ids":[7321],"rotation_rows":1}]
71854	2	2	[{"name":"TraTraTrax","company_ids":[7174],"rotation_rows":1},{"name":"TraTraTrax/Ambie--Ton","company_ids":[7206],"rotation_rows":1}]
71963	2	2	[{"name":"CHARM OF SOUND","company_ids":[1594],"rotation_rows":1},{"name":"Dear Life Records","company_ids":[7248],"rotation_rows":1}]
71977	2	2	[{"name":"Mr Bongo","company_ids":[7151],"rotation_rows":1},{"name":"Mr. Bongo","company_ids":[6713],"rotation_rows":1}]
